Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
7000916D;PLU;8 400;1;1 200,00;MM;1 000,00;MM;1 393,00;MM;1 671,60;CDM;217 180,00;G;58 800,00;G
7000916D;PRU;1 400;1;1 200,00;MM;1 000,00;MM;205;MM;246;CDM;32 030,00;G;9 800,00;G
7000916D;SU;10;1;110;MM;62;MM;190;MM;1,296;CDM;212;G;70;G
7000919D;CU;1;1;15;MM;60;MM;185;MM;0,167;CDM;26;G;9;G
7000919D;DU;110;1;395;MM;264;MM;198;MM;20,647;CDM;3 755,00;G;990;G
7000919D;PAL;6 930;1;1 200,00;MM;800;MM;1 536,00;MM;1 474,56;CDM;260 565,00;G;62 370,00;G
7000919D;PC;1;1;0;;0;;0;;0;CDM;26;G;9;G
7000919D;PLR;990;1;1 200,00;MM;800;MM;198;MM;190,08;CDM;33 795,00;G;8 910,00;G
7000919D;PLU;6 600;1;1 200,00;MM;1 000,00;MM;1 363,00;MM;1 635,60;CDM;250 300,00;G;59 400,00;G
7000919D;PRU;1 100;1;1 200,00;MM;1 000,00;MM;198;MM;237,6;CDM;37 550,00;G;9 900,00;G
7000919D;SU;10;1;80;MM;100;MM;185;MM;1,48;CDM;320;G;90;G
7000920D;CU;1;1;18;MM;60;MM;185;MM;0,2;CDM;37;G;34;G
7000920D;DU;80;1;376;MM;282;MM;200;MM;21,206;CDM;3 500,00;G;2 720,00;G
7000920D;PAL;4 480;1;1 200,00;MM;800;MM;1 544,00;MM;1 482,24;CDM;220 000,00;G;152 320,00;G
7000920D;PC;1;1;0;;0;;0;;0;CDM;37;G;34;G
7000920D;PLR;640;1;1 128,00;MM;800;MM;200;MM;180,48;CDM;28 000,00;G;21 760,00;G
7000920D;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;235 000,00;G;163 200,00;G
7000920D;PRU;800;1;1 128,00;MM;940;MM;200;MM;212,064;CDM;35 000,00;G;27 200,00;G
7000920D;SU;10;1;135;MM;85;MM;188;MM;2,157;CDM;406;G;340;G
7000921D;CU;1;1;8;MM;85;MM;185;MM;0,126;CDM;31,44;G;20,08;G
7000921D;DU;72;1;398;MM;263;MM;200;MM;20,935;CDM;2 935,00;G;1 445,76;G
7000921D;PAL;4 536;1;1 200,00;MM;800;MM;1 544,00;MM;1 482,24;CDM;208 905,00;G;91 082,88;G
7000921D;PC;1;1;0;;0;;0;;0;CDM;31,44;G;20,08;G
7000921D;PLR;648;1;1 185,00;MM;780;MM;200;MM;184,86;CDM;26 415,00;G;13 011,84;G
7000921D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;201 100,00;G;86 745,60;G
7000921D;PRU;720;1;1 185,00;MM;925;MM;200;MM;219,225;CDM;29 350,00;G;14 457,60;G
7000921D;SU;6;1;87;MM;79;MM;187;MM;1,285;CDM;225;G;120,48;G
7000922D;CU;1;1;8;MM;80;MM;185;MM;0,118;CDM;44;G;40;G
7000922D;DU;72;1;358;MM;300;MM;196;MM;21,05;CDM;3 911,00;G;2 880,00;G
7000922D;PAL;4 032;1;1 200,00;MM;800;MM;1 522,00;MM;1 461,12;CDM;243 106,00;G;161 280,00;G
7000922D;PC;1;1;0;;0;;0;;0;CDM;44;G;40;G
7000922D;PLR;576;1;1 200,00;MM;800;MM;196;MM;188,16;CDM;31 288,00;G;23 040,00;G
7000922D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 363,00;MM;1 635,60;CDM;259 660,00;G;172 800,00;G
7000922D;PRU;720;1;1 200,00;MM;1 000,00;MM;196;MM;235,2;CDM;39 110,00;G;28 800,00;G
7000922D;SU;6;1;87;MM;97;MM;188;MM;1,587;CDM;305;G;240;G
7000924D;CU;1;1;5;MM;60;MM;185;MM;0,056;CDM;15,28;G;6,78;G
7000924D;DU;144;1;376;MM;282;MM;200;MM;22,04;CDM;3 083,00;G;976,32;G
7000924D;PAL;8 064;1;1 200,00;MM;800;MM;1 544,00;MM;1 488,00;CDM;196 648,00;G;54 673,92;G
7000924D;PC;1;1;0;;0;;0;;0;CDM;15,28;G;6,78;G
7000924D;PLR;1 152;1;1 128,00;MM;752;MM;200;MM;192;CDM;24 664,00;G;7 810,56;G
7000924D;PLU;8 640;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 635,60;CDM;209 980,00;G;58 579,20;G
7000924D;PRU;1 440;1;1 160,00;MM;960;MM;200;MM;240;CDM;30 830,00;G;9 763,20;G
7000924D;SU;6;1;86;MM;62;MM;188;MM;0,093;CDM;118;G;40,68;G
7000926D;CU;1;1;10;MM;85;MM;185;MM;0,157;CDM;56,25;G;50,62;G
7000926D;DU;72;1;376;MM;282;MM;200;MM;21,206;CDM;4 764,00;G;3 644,64;G
7000926D;PAL;4 032;1;1 200,00;MM;800;MM;1 544,00;MM;1 482,24;CDM;290 784,00;G;204 099,84;G
7000926D;PC;1;1;0;;0;;0;;0;CDM;0;;50,62;G
7000926D;PLR;576;1;1 128,00;MM;752;MM;200;MM;169,651;CDM;38 112,00;G;29 157,12;G
7000926D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;310 840,00;G;218 678,40;G
7000926D;PRU;720;1;1 128,00;MM;940;MM;200;MM;212,064;CDM;47 640,00;G;36 446,40;G
7000926D;SU;6;1;89;MM;86;MM;186;MM;1,424;CDM;376;G;303,72;G
7000927D;CU;1;1;10;MM;85;MM;185;MM;0,157;CDM;73,333;G;66,375;G
7000927D;DU;72;1;376;MM;282;MM;200;MM;21,206;CDM;5 988,00;G;4 779,00;G
7000927D;PAL;4 032;1;1 200,00;MM;800;MM;1 544,00;MM;1 482,24;CDM;359 328,00;G;267 624,00;G
7000927D;PC;1;1;0;;0;;0;;0;CDM;0;;66,375;G
7000927D;PLR;576;1;1 128,00;MM;752;MM;200;MM;169,651;CDM;47 904,00;G;38 232,00;G
7000927D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;384 280,00;G;286 740,00;G
7000927D;PRU;720;1;1 128,00;MM;940;MM;200;MM;212,064;CDM;59 880,00;G;47 790,00;G
7000927D;SU;6;1;89;MM;86;MM;186;MM;1,424;CDM;478;G;398,25;G
7000931D;CU;1;1;5;MM;60;MM;185;MM;0,056;CDM;23;G;22,663;G
7000931D;DU;110;1;534;MM;225;MM;200;MM;24,03;CDM;2 790,00;G;2 492,93;G
7000931D;PAL;5 390;1;1 200,00;MM;800;MM;1 550,00;MM;1 488,00;CDM;161 710,00;G;122 153,57;G
7000931D;PC;1;1;0;;0;;0;;0;CDM;0;;22,663;G
7000931D;PLR;770;1;1 200,00;MM;800;MM;200;MM;192;CDM;19 530,00;G;17 450,51;G
7000931D;SU;10;1;146;MM;60;MM;190;MM;1,664;CDM;230;G;226,63;G
70009450;CU;1;1;60;MM;230;MM;25;MM;0,345;CDM;66,33;G;54,54;G
70009450;DU;120;1;565;MM;399;MM;245;MM;53,508;CDM;7 940,00;G;6 544,80;G
70009450;PAL;2 880;1;1 200,00;MM;800;MM;1 614,00;MM;1 555,20;CDM;214 560,00;G;157 075,20;G
70009450;PC;1;1;0;;0;;0;;0;CDM;0;;54,54;G
70009450;PLR;480;1;1 130,00;MM;798;MM;245;MM;235,2;CDM;31 760,00;G;26 179,20;G
70009450;PLU;3 000;1;1 200,00;MM;1 000,00;MM;1 375,00;MM;1 650,00;CDM;223 500,00;G;163 620,00;G
70009450;PRU;600;1;1 197,00;MM;964;MM;245;MM;282,707;CDM;39 700,00;G;32 724,00;G
70009450;SU;6;1;155;MM;65;MM;233;MM;2,337;CDM;397;G;327,24;G
7001022E;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;39,75;G;29,95;G
7001022E;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;9 403,50;G;5 990,00;G
7001022E;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;193 263,00;G;107 820,00;G
7001022E;PC;1;4;0;;0;;0;;0;CDM;0;G;29,95;G
7001022E;PLR;1 200;1;1 200,00;MM;800;MM;423;MM;406,08;CDM;56 421,00;G;35 940,00;G
7001022E;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;250 684,00;G;143 760,00;G
7001022E;PRU;1 600;1;1 200,00;MM;1 000,00;MM;423;MM;507,6;CDM;75 228,00;G;47 920,00;G
7001022E;SU;10;1;207;MM;99;MM;118;MM;2,418;CDM;449;G;299,5;G
7001028B;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;35;G;24;G
7001028B;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;8 458,00;G;4 800,00;G
7001028B;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;176 244,00;G;86 400,00;G
7001028B;PC;1;4;0;;0;;0;;0;CDM;0;;24;G
7001028B;PLR;1 200;1;1 022,00;MM;750;MM;423;MM;324,23;CDM;50 748,00;G;28 800,00;G
7001028B;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;227 992,00;G;115 200,00;G
7001028B;PRU;1 600;1;1 022,00;MM;1 000,00;MM;423;MM;432,306;CDM;67 664,00;G;38 400,00;G
7001028B;SU;10;1;205;MM;99;MM;117;MM;2,375;CDM;401;G;240;G
70010360;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;34;G;23,2;G
70010360;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;8 316,00;G;4 640,00;G
70010360;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;173 688,00;G;83 520,00;G
70010360;PC;1;4;0;MM;0;MM;0;MM;0;CDM;0;G;23,2;G
70010360;PLR;1 200;1;1 022,00;MM;750;MM;423;MM;406,08;CDM;49 896,00;G;27 840,00;G
70010360;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;224 584,00;G;111 360,00;G
70010360;PRU;1 600;1;1 022,00;MM;1 000,00;MM;423;MM;432,306;CDM;66 528,00;G;37 120,00;G
70010360;SU;10;1;205;MM;99;MM;117;MM;2,418;CDM;394;G;232;G
7001036F;CU;1;1;38;MM;97;MM;112;MM;0,413;CDM;78,7;G;59,2;G
7001036F;PAL;2 090;1;1 200,00;MM;800;MM;1 552,00;MM;1 489,92;CDM;231 283,00;G;123 728,00;G
7001036F;PC;1;8;0;MM;0;MM;0;MM;0;CDM;0;G;59,2;G
7001036F;PLR;190;1;1 200,00;MM;800;MM;128;MM;122,88;CDM;18 753,00;G;11 248,00;G
7001036F;SU;10;1;406;MM;105;MM;128;MM;5,457;CDM;987;G;592;G
7001045E;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;40;G;30,4;G
7001045E;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;8 501,00;G;6 080,00;G
7001045E;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;177 018,00;G;109 440,00;G
7001045E;PC;1;3;0;MM;0;MM;0;MM;0;CDM;0;G;30,4;G
7001045E;PLR;1 200;1;1 200,00;MM;800;MM;423;MM;406,08;CDM;51 006,00;G;36 480,00;G
7001045E;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;0;G;145 920,00;G
7001045E;PRU;1 600;1;1 200,00;MM;1 000,00;MM;423;MM;507,6;CDM;0;G;48 640,00;G
7001045E;SU;10;1;207;MM;99;MM;118;MM;2,418;CDM;401;G;304;G
7001046E;CU;1;1;95;MM;32;MM;112;MM;0,34;CDM;40,863;G;13,74;G
7001046E;DU;200;1;764;MM;364;MM;222;MM;61,737;CDM;8 173,00;G;2 748,00;G
7001046E;PAL;4 200;1;1 200,00;MM;800;MM;1 698,00;MM;1 630,08;CDM;195 633,00;G;57 708,00;G
7001046E;PC;1;3;95;MM;32;MM;112;MM;340,48;CDM;40,863;G;13,74;G
7001046E;PLR;600;1;1 092,00;MM;764;MM;222;MM;185,212;CDM;24 519,00;G;8 244,00;G
7001046E;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 482,00;MM;1 778,40;CDM;172 114,00;G;49 464,00;G
7001046E;PRU;600;1;1 092,00;MM;764;MM;222;MM;185,212;CDM;24 519,00;G;8 244,00;G
7001046E;SU;10;1;172;MM;148;MM;100;MM;2 545,60;CDM;409;G;137,4;G
70010550;CU;1;1;23;MM;104;MM;240;MM;0,574;CDM;33,5;G;30,81;G
70010550;PAL;2 340;1;1 200,00;MM;800;MM;1 584,00;MM;1 520,64;CDM;118 770,00;G;72 095,40;G
70010550;PC;1;3;0;MM;0;MM;0;MM;0;CDM;0;G;30,81;G
70010550;PLR;390;1;1 200,00;MM;800;MM;240;MM;230,4;CDM;15 795,00;G;12 015,90;G
70010550;SU;10;1;240;MM;100;MM;240;MM;5,76;CDM;405;G;308,1;G
7001056A;CU;1;1;23;MM;104;MM;230;MM;0,55;CDM;43,74;G;41,52;G
7001056A;PAL;2 400;1;1 200,00;MM;800;MM;1 768,00;MM;1 697,28;CDM;148 584,00;G;99 648,00;G
7001056A;PC;1;4;0;MM;0;MM;0;MM;0;CDM;0;;41,52;G
7001056A;PLR;300;1;1 150,00;MM;660;MM;203;MM;191,632;CDM;15 573,00;G;12 456,00;G
7001056A;PLU;2 400;1;1 200,00;MM;1 000,00;MM;1 368,00;MM;1 641,60;CDM;149 584,00;G;99 648,00;G
7001056A;PRU;400;1;1 150,00;MM;880;MM;203;MM;205,436;CDM;20 764,00;G;16 608,00;G
7001056A;SU;20;1;230;MM;220;MM;200;MM;10,272;CDM;1 038,00;G;830,4;G
70010570;CU;1;1;30;MM;145;MM;235;MM;1,022;CDM;129,8;G;124,8;G
70010570;PAL;1 280;1;1 200,00;MM;800;MM;1 736,00;MM;1 666,56;CDM;206 144,00;G;159 744,00;G
70010570;PC;1;12;0;MM;0;MM;0;MM;0;CDM;0;;124,8;G
70010570;PLR;160;1;1 200,00;MM;800;MM;199;MM;191,04;CDM;22 768,00;G;19 968,00;G
70010570;SU;20;1;382;MM;288;MM;199;MM;21,893;CDM;2 846,00;G;2 496,00;G
7001057A;CU;1;1;30;MM;145;MM;235;MM;1,022;CDM;129,8;G;124,8;G
7001057A;PAL;600;1;1 200,00;MM;800;MM;1 662,00;MM;1 595,52;CDM;114 120,00;G;74 880,00;G
7001057A;PC;1;12;0;MM;0;MM;0;MM;0;CDM;0;;124,8;G
7001057A;PLR;100;1;1 200,00;MM;800;MM;253;MM;242,88;CDM;15 020,00;G;12 480,00;G
7001057A;SU;10;1;453;MM;160;MM;253;MM;18,337;CDM;1 502,00;G;1 248,00;G
70010580;CU;1;1;37;MM;125;MM;240;MM;1,11;CDM;86,6;G;83,2;G
70010580;PAL;1 920;1;1 200,00;MM;800;MM;1 672,00;MM;1 605,12;CDM;207 168,00;G;159 744,00;G
70010580;PC;1;8;0;;0;;0;;0;;0;;83,2;G
70010580;PLR;240;1;1 200,00;MM;800;MM;191;MM;183,36;CDM;22 896,00;G;19 968,00;G
70010580;SU;20;1;376;MM;206;MM;191;MM;14,794;CDM;1 908,00;G;1 664,00;G
7001059A;CU;1;1;23;MM;104;MM;230;MM;0,55;CDM;43,74;G;41,52;G
7001059A;PAL;2 400;1;1 200,00;MM;800;MM;1 768,00;MM;1 697,28;CDM;148 584,00;G;99 648,00;G
7001059A;PC;1;4;0;;0;;0;;0;;0;;41,52;G
7001059A;PLR;300;1;1 150,00;MM;660;MM;203;MM;145,376;CDM;15 573,00;G;12 456,00;G
7001059A;PLU;2 400;1;1 200,00;MM;1 000,00;MM;1 368,00;MM;1 641,60;CDM;149 584,00;G;99 648,00;G
7001059A;PRU;400;1;1 150,00;MM;880;MM;203;MM;205,436;CDM;20 764,00;G;16 608,00;G
7001059A;SU;20;1;230;MM;230;MM;200;MM;10,272;CDM;1 038,00;G;830,4;G
70010650;CU;1;1;21;MM;96;MM;115;MM;0,232;CDM;61;G;51,24;G
70010650;DU;120;1;477;MM;317;MM;324;MM;48,992;CDM;8 529,00;G;6 148,80;G
70010650;PAL;3 000;1;1 200,00;MM;800;MM;1 764,00;MM;1 693,44;CDM;237 225,00;G;153 720,00;G
70010650;PC;1;6;0;;0;;0;;0;CDM;0;;51,24;G
70010650;PLR;600;1;1 200,00;MM;800;MM;324;MM;311,04;CDM;42 645,00;G;30 744,00;G
70010650;SU;10;1;233;MM;102;MM;152;MM;3,612;CDM;679;G;512,4;G
70010810;CU;1;1;98;MM;37;MM;197;MM;0,714;CDM;93;G;75;G
70010810;PAL;1 260;1;1 200,00;MM;800;MM;1 642,00;MM;1 576,32;CDM;141 300,00;G;94 500,00;G
70010810;PC;1;3;0;;0;;0;;0;CDM;0;;75;G
70010810;PLR;180;1;1 200,00;MM;800;MM;214;MM;205,44;CDM;16 800,00;G;13 500,00;G
70010810;SU;12;1;224;MM;220;MM;214;MM;10,546;CDM;1 120,00;G;900;G
7001081E;CU;1;1;98;MM;37;MM;197;MM;0,714;CDM;93;G;75;G
7001081E;PAL;1 134;1;1 200,00;MM;800;MM;1 621,00;MM;1 556,16;CDM;151 630,00;G;85 050,00;G
7001081E;PC;1;3;0;;0;;0;;0;CDM;0;;75;G
7001081E;PLR;162;1;1 200,00;MM;800;MM;214;MM;205,44;CDM;18 900,00;G;12 150,00;G
7001081E;PLU;1 116;1;1 200,00;MM;1 000,00;MM;1 429,00;MM;1 714,80;CDM;130 200,00;G;83 700,00;G
7001081E;PRU;186;1;1 200,00;MM;1 000,00;MM;211;MM;253,2;CDM;21 700,00;G;13 950,00;G
7001081E;SU;6;1;252;MM;132;MM;211;MM;7,019;CDM;700;G;450;G
70010840;CU;1;1;98;MM;49;MM;197;MM;0,946;CDM;90;G;72,6;G
70010840;PAL;1 092;1;1 200,00;MM;800;MM;1 649,00;MM;1 583,04;CDM;140 844,00;G;79 279,20;G
70010840;PC;1;4;0;;0;;0;;0;CDM;90;G;72,6;G
70010840;PCF;1;1;0;;0;;0;;0;CDM;0;G;72,6;G
70010840;PLR;156;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;16 692,00;G;11 325,60;G
70010840;PLU;1 224;1;1 200,00;MM;1 000,00;MM;1 453,00;MM;1 743,60;CDM;155 968,00;G;88 862,40;G
70010840;PRU;204;1;1 200,00;MM;1 000,00;MM;215;MM;258;CDM;21 828,00;G;14 810,40;G
70010840;SU;12;1;295;MM;220;MM;215;MM;13,954;CDM;1 284,00;G;871,2;G
7001134C;CU;1;1;10,5;MM;100;MM;105;MM;0,11;CDM;19,88;G;11,6;G
7001134C;DU;200;1;546;MM;246;MM;249;MM;33,445;CDM;5 042,00;G;2 320,00;G
7001134C;PAL;9 800;1;1 200,00;MM;800;MM;1 887,00;MM;1 811,52;CDM;271 058,00;G;113 680,00;G
7001134C;PC;1;5;0;MM;0;MM;0;MM;0;CDM;0;;11,6;G
7001134C;PLR;1 400;1;1 230,00;MM;792;MM;249;MM;242,566;CDM;35 294,00;G;16 240,00;G
7001134C;PLU;8 000;1;1 200,00;MM;1 000,00;MM;1 395,00;MM;1 674,00;CDM;226 680,00;G;92 800,00;G
7001134C;PRU;1 600;1;1 092,00;MM;984;MM;249;MM;267,557;CDM;40 336,00;G;18 560,00;G
7001134C;SU;10;1;115;MM;105;MM;116;MM;1,401;CDM;236;G;116;G
70011390;CU;1;1;11;MM;100;MM;115;MM;0,127;CDM;34,45;G;33,7;G
70011390;DU;100;1;546;MM;246;MM;132;MM;17,73;CDM;3 984,00;G;3 370,00;G
70011390;PAL;7 700;1;1 200,00;MM;800;MM;1 596,00;MM;1 532,16;CDM;331 768,00;G;259 490,00;G
70011390;PC;1;10;0;;0;;0;;0;CDM;0;;33,7;G
70011390;PLR;700;1;1 200,00;MM;800;MM;132;MM;126,72;CDM;27 888,00;G;23 590,00;G
70011390;PLU;7 200;1;1 200,00;MM;1 000,00;MM;1 338,00;MM;1 605,60;CDM;316 848,00;G;242 640,00;G
70011390;PRU;800;1;1 200,00;MM;1 000,00;MM;132;MM;158,4;CDM;31 872,00;G;26 960,00;G
70011390;SU;10;1;115,5;MM;105,5;MM;116,5;MM;1,42;CDM;3 752,00;G;337;G
7001143R;CU;1;1;19;MM;96;MM;115;MM;2,153;CDM;23;G;14;G
7001143R;DU;200;1;504;MM;392;MM;250;MM;49,392;CDM;5 998,00;G;2 800,00;G
7001143R;PAL;5 600;1;1 200,00;MM;800;MM;1 894,00;MM;1 818,24;CDM;191 944,00;G;78 400,00;G
7001143R;PC;1;3;0;MM;0;MM;0;MM;0;CDM;23;G;14;G
7001143R;PLR;800;1;1 200,00;MM;800;MM;250;MM;240;CDM;23 992,00;G;11 200,00;G
7001143R;PLU;5 000;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;2 312,40;CDM;174 950,00;G;70 000,00;G
7001143R;PRU;1 000;1;1 200,00;MM;1 000,00;MM;250;MM;296,25;CDM;29 990,00;G;14 000,00;G
7001143R;SU;10;1;191;MM;100;MM;120;MM;2,292;CDM;286;G;140;G
7001143U;CU;1;1;30;MM;105;MM;235;MM;0,74;CDM;109;G;92;G
7001143U;PAL;1 210;1;1 200,00;MM;800;MM;1 783,00;MM;1 711,68;CDM;156 374,00;G;111 320,00;G
7001143U;PC;1;4;0;MM;0;MM;0;MM;0;CDM;0;G;92;G
7001143U;PLR;110;1;1 200,00;MM;800;MM;149;MM;143,04;CDM;12 034,00;G;10 120,00;G
7001143U;PLU;1 120;1;1 200,00;MM;1 000,00;MM;1 355,00;MM;1 626,00;CDM;122 528,00;G;103 040,00;G
7001143U;PRU;140;1;1 200,00;MM;1 000,00;MM;149;MM;178,8;CDM;15 316,00;G;12 880,00;G
7001143U;SU;10;1;339;MM;216;MM;149;MM;10,91;CDM;1 094,00;G;920;G
7001143Z;CU;1;1;21;MM;100;MM;200;MM;0,42;CDM;90;G;54;G
7001143Z;PAL;2 590;1;1 200,00;MM;800;MM;1 614,00;MM;1 549,44;CDM;296 209,00;G;139 860,00;G
7001143Z;PC;1;4;0;MM;0;MM;0;MM;0;CDM;90;G;54;G
7001143Z;PLR;370;1;1 155,00;MM;745;MM;210;MM;180,7;CDM;38 887,00;G;19 980,00;G
7001143Z;PLU;2 940;1;1 200,00;MM;1 000,00;MM;1 410,00;MM;1 692,00;CDM;334 994,00;G;158 760,00;G
7001143Z;PRU;490;1;1 180,00;MM;945;MM;210;MM;234,171;CDM;51 499,00;G;26 460,00;G
7001143Z;SU;10;1;215;MM;105;MM;210;MM;4,741;CDM;1 051,00;G;540;G
7001147V;CU;1;1;193;MM;302;MM;30;MM;1,749;CDM;198;G;33,6;G
7001147V;PAL;600;1;1 200,00;MM;800;MM;1 194,00;MM;1 146,24;CDM;165 120,00;G;20 160,00;G
7001147V;PC;1;8;0;;0;;0;;0;CDM;0;;33,6;G
7001147V;PLR;120;1;1 170,00;MM;740;MM;210;MM;181,818;CDM;28 224,00;G;4 032,00;G
7001147V;PLU;640;1;1 200,00;MM;1 000,00;MM;990;MM;1 188,00;CDM;175 528,00;G;21 504,00;G
7001147V;PRU;160;1;1 160,00;MM;960;MM;210;MM;233,856;CDM;37 632,00;G;5 376,00;G
7001147V;SU;10;1;320;MM;320;MM;210;MM;21,504;CDM;2 352,00;G;336;G
7001147W;CU;1;1;158;MM;245;MM;33;MM;1,277;CDM;180;G;160;G
7001147W;PAL;900;1;1 200,00;MM;800;MM;1 692,00;MM;1 624,32;CDM;213 900,00;G;144 000,00;G
7001147W;PC;1;6;0;;0;;0;;0;CDM;180;G;160;G
7001147W;PLR;100;1;1 200,00;MM;800;MM;172;MM;165,12;CDM;21 100,00;G;16 000,00;G
7001147W;PLU;840;1;1 200,00;MM;1 000,00;MM;1 367,00;MM;1 640,40;CDM;202 240,00;G;134 400,00;G
7001147W;PRU;120;1;1 200,00;MM;1 000,00;MM;172;MM;206,4;CDM;25 320,00;G;19 200,00;G
7001147W;SU;10;1;332;MM;258;MM;172;MM;14,733;CDM;2 110,00;G;1 600,00;G
7001147X;CU;1;1;37;MM;138;MM;202;MM;1,031;CDM;126;G;106;G
7001147X;PAL;1 015;1;1 200,00;MM;800;MM;1 684,00;MM;1 616,64;CDM;171 905,80;G;107 590,00;G
7001147X;PC;1;6;0;MM;0;MM;0;MM;0;CDM;0;G;106;G
7001147X;PLR;145;1;1 200,00;MM;800;MM;220;MM;211,2;CDM;21 129,40;G;15 370,00;G
7001147X;PLU;1 110;1;1 200,00;MM;1 000,00;MM;1 470,00;MM;1 764,00;CDM;186 749,20;G;117 660,00;G
7001147X;PRU;185;1;1 168,00;MM;986;MM;220;MM;253,363;CDM;26 958,20;G;19 610,00;G
7001147X;SU;5;1;210;MM;146;MM;220;MM;6,745;CDM;728,6;G;530;G
7001147Y;CU;1;1;56;MM;140;MM;202;MM;1,584;CDM;164;G;68,4;G
7001147Y;PAL;700;1;1 200,00;MM;800;MM;1 650,00;MM;1 584,00;CDM;155 460,00;G;47 880,00;G
7001147Y;PC;1;8;0;;0;;0;;0;CDM;0;;68,4;G
7001147Y;PLR;100;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;18 780,00;G;6 840,00;G
7001147Y;PLU;720;1;1 200,00;MM;1 000,00;MM;1 440,00;MM;1 728,00;CDM;160 216,00;G;49 248,00;G
7001147Y;PRU;120;1;1 180,00;MM;900;MM;215;MM;228,33;CDM;22 536,00;G;8 208,00;G
7001147Y;SU;5;1;295;MM;150;MM;215;MM;9,514;CDM;939;G;342;G
70013060;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;82;G;43;G
70013060;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 195,00;G;2 150,00;G
70013060;PAL;1 400;1;1 200,00;MM;800;MM;1 852,00;MM;1 777,92;CDM;169 460,00;G;60 200,00;G
70013060;PC;1;1;0;;0;;0;;0;CDM;82;G;43;G
70013060;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;36 365,00;G;15 050,00;G
70013060;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;180 850,00;G;64 500,00;G
70013060;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;51 950,00;G;21 500,00;G
70013060;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;485;G;215;G
7001380A;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;80,8;G;51,28;G
7001380A;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 099,00;G;2 564,00;G
7001380A;PAL;1 400;1;1 200,00;MM;800;MM;1 852,00;MM;1 747,20;CDM;166 772,00;G;71 792,00;G
7001380A;PC;1;1;0;;0;;0;;0;CDM;80,8;G;51,28;G
7001380A;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;35 693,00;G;17 948,00;G
7001380A;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 732,80;CDM;177 970,00;G;76 920,00;G
7001380A;PRU;500;1;1 136,00;MM;958;MM;427;MM;512,4;CDM;50 990,00;G;25 640,00;G
7001380A;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;477;G;256,4;G
7001380Z;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;80,8;G;51,28;G
7001380Z;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 099,00;G;2 564,00;G
7001380Z;PAL;1 400;1;1 200,00;MM;800;MM;1 820,00;MM;1 747,20;CDM;166 772,00;G;71 792,00;G
7001380Z;PC;1;1;0;;0;;0;;0;CDM;0;;51,28;G
7001380Z;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;35 693,00;G;17 948,00;G
